epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48957,2.93368,6.0585,4.00167,0.48934,1,0.4975,0.10319,3.0628,3.46995,6.32051,8e-05,8e-05,8e-05
2,3.94386,3.06784,3.69817,4.15867,0.49566,1,0.995,0.20522,3.24875,2.86211,5.87177,0.000177773,0.000177773,0.000177773
3,4.3164,2.37853,4.46334,2.9755,0.49556,1,0.995,0.20563,3.24052,2.74853,5.76943,0.00027307,0.00027307,0.00027307
4,4.73754,2.04562,2.76354,2.56171,0.14793,1,0.33167,0.10628,2.22322,4.14352,2.96767,0.000365893,0.000365893,0.000365893
5,5.10978,2.0849,2.63368,2.2468,0.10921,1,0.199,0.09287,1.46989,3.38565,2.25298,0.00045624,0.00045624,0.00045624
6,5.49176,1.77795,2.70154,2.01605,0.13567,1,0.199,0.0995,2.62543,3.8072,2.53278,0.000544113,0.000544113,0.000544113
7,5.85155,1.7323,2.45219,1.88265,0.38648,1,0.995,0.4975,2.50479,2.82448,2.40757,0.00062951,0.00062951,0.00062951
8,6.23859,1.43804,2.20436,1.56154,0.38648,1,0.995,0.4975,2.50479,2.82448,2.40757,0.000712432,0.000712432,0.000712432
9,6.66355,1.21714,1.99473,1.435,0.71908,1,0.995,0.6965,1.58286,1.96978,2.14709,0.00079288,0.00079288,0.00079288
10,7.06242,1.31475,2.03635,1.52861,0.83946,1,0.995,0.6965,1.22462,1.46435,1.86268,0.000870853,0.000870853,0.000870853
11,7.45622,1.17407,1.83285,1.42172,0.83946,1,0.995,0.6965,1.22462,1.46435,1.86268,0.00094635,0.00094635,0.00094635
12,7.82871,1.12435,1.50417,1.3054,0.84488,1,0.995,0.54725,1.39215,1.5901,1.83749,0.00101937,0.00101937,0.00101937
13,8.17308,0.98558,1.57029,1.29261,0.84488,1,0.995,0.54725,1.39215,1.5901,1.83749,0.00108992,0.00108992,0.00108992
14,8.53836,1.01441,1.51569,1.37401,0.84488,1,0.995,0.54725,1.39215,1.5901,1.83749,0.00115799,0.00115799,0.00115799
15,8.90749,1.03229,1.56123,1.34839,0.78742,1,0.995,0.54725,1.17379,1.57784,1.67061,0.00122359,0.00122359,0.00122359
16,9.24012,0.97633,1.3666,1.26403,0.78742,1,0.995,0.54725,1.17379,1.57784,1.67061,0.00128671,0.00128671,0.00128671
17,9.58739,0.88472,1.37724,1.21605,0.78742,1,0.995,0.54725,1.17379,1.57784,1.67061,0.00134736,0.00134736,0.00134736
18,9.92342,0.99561,1.2041,1.19656,0.80299,1,0.995,0.46433,1.5132,1.78757,1.75409,0.00140553,0.00140553,0.00140553
19,10.2629,0.98364,1.3529,1.26816,0.80299,1,0.995,0.46433,1.5132,1.78757,1.75409,0.00146123,0.00146123,0.00146123
20,10.6104,1.00668,1.31506,1.23901,0.80299,1,0.995,0.46433,1.5132,1.78757,1.75409,0.00151445,0.00151445,0.00151445
21,10.9608,0.9762,1.2649,1.21988,0.82688,1,0.995,0.34825,1.46427,1.96845,1.77413,0.001505,0.001505,0.001505
22,11.3357,0.91607,1.25628,1.19431,0.82688,1,0.995,0.34825,1.46427,1.96845,1.77413,0.00148025,0.00148025,0.00148025
23,11.7106,0.94343,1.2001,1.15972,0.82688,1,0.995,0.34825,1.46427,1.96845,1.77413,0.0014555,0.0014555,0.0014555
24,12.0827,0.89273,1.30524,1.26239,0.4412,1,0.995,0.34825,1.42209,1.81205,1.55684,0.00143075,0.00143075,0.00143075
